Options:
Model:                           Continuous: Directional
Tree File Name:                  tree.nex
Data File Name:                  data.txt
Log File Name:                   data.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2656037207
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   100
Iterations:                      1000000
Burn in:                         500000
MCMC ML Start:                   False
Schedule File:                   data.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Tags:	1
Estimating values for taxa and Sites
	data           1 
Restrictions:
    Alpha-1                      None
    Beta-1                       None
Prior Information:
    Priors
        Alpha-1 - uniform -0.07 0.81 
        Beta-1 - uniform -0.07 0.81 
        AncState-1 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       212
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Beta 1	Sigma^2 1 	Est Ancestral_value - 1	
500100	-191.519961	1	0.195696115702	0.473472673253	4.587316991693	0.194943800250	
500200	-190.597436	1	0.191422814038	0.178228499607	4.547566506547	0.191417934516	
500300	-190.588681	1	0.190490247276	0.045870440121	4.547190893111	0.190215753583	
500400	-190.883182	1	0.187132081325	0.133632132515	4.559841976892	0.187671855399	
500500	-190.496550	1	0.187670218816	-0.047518038565	4.543240385621	0.187482722900	
500600	-191.542915	1	0.190189963493	0.693947421980	4.588310450907	0.189640240560	
500700	-192.706668	1	0.191588936975	0.807386421955	4.638962167992	0.192684987573	
500800	-190.866645	1	0.188174869617	0.080256067702	4.559130634313	0.188731021207	
500900	-192.329400	1	0.189752847299	0.722643711007	4.622480802295	0.190745148965	
501000	-190.781170	1	0.190562834023	0.150073625720	4.555455788233	0.190130256893	
501100	-192.065763	1	0.186991221847	0.461107835410	4.610998347276	0.188032647120	
501200	-191.038432	1	0.186081103837	0.571330439300	4.566525336940	0.186179052278	
501300	-190.688026	1	0.184346505687	0.098233055064	4.551454622083	0.184715271300	
501400	-191.098507	1	0.185210940013	0.166532052662	4.569114126875	0.185893348708	
501500	-190.686762	1	0.182994194423	0.233818889903	4.551400320915	0.183193905421	
501600	-191.574121	1	0.178332977958	-0.036533737437	4.589661461680	0.179340062160	
501700	-190.669164	1	0.176819007679	0.188986823868	4.550644766861	0.176576851404	
501800	-191.172208	1	0.176652699276	0.670956211902	4.572292098753	0.176685599592	
501900	-191.156137	1	0.175781928950	0.598407594048	4.571598904518	0.176074446685	
502000	-190.520289	1	0.180238553040	0.048027609478	4.544257954910	0.180129166974	
502100	-191.673365	1	0.180531227689	0.639105112065	4.593960572715	0.179821819688	
502200	-191.132755	1	0.181756235561	0.635203325082	4.570590618514	0.181869428216	
502300	-195.404136	1	0.181215177401	0.183059744492	4.758528497830	0.183329374603	
